task,peft_method,lora_rank,task_acc_mean,task_acc_std,task_acc_norm_mean,task_acc_norm_std,trainable_params_mean,trainable_params_std,peak_vram_gb_mean,peak_vram_gb_std,train_seconds_mean,train_seconds_std,train_tokens_per_sec_mean,train_tokens_per_sec_std,acc_per_param_mean,acc_per_param_std,acc_per_gpu_hour_mean,acc_per_gpu_hour_std
gsm8k,full,,0.554,0.009165151389911688,,,1543714304.0,0.0,22.481812309333332,0.03220796177581412,3215.2725590490736,72.54769190764601,5558.069840613902,123.7966292530265,3.588746949901943e-10,5.9370774541399175e-12,0.6203820924862737,0.009166601510569826
gsm8k,lora,4.0,0.552,0.006000000000000005,,,544768.0,0.0,11.943670954666667,0.014029354493761902,2454.4270468764007,17.12090097204323,7278.806449030133,50.58889565924072,1.0132753759398496e-06,1.10138627819549e-08,0.8096273110477772,0.004131379904407971
gsm8k,lora,8.0,0.5433333333333333,0.010263202878893781,,,1089536.0,0.0,11.954369706666666,0.014029354493761902,2401.7339075957425,36.70863931158173,7439.412533565654,113.08236400125907,4.986832315162908e-07,9.419792350958391e-09,0.8146665648363433,0.026411960734062358
gsm8k,lora,16.0,0.5193333333333333,0.006429100507328648,,,2179072.0,0.0,11.975767210666667,0.014029354493761996,2515.9134102022895,147.33763158884014,7116.528449719922,405.7544470109839,2.3832775297619045e-07,2.9503846166297608e-09,0.7445721750065983,0.03814472170004375
gsm8k,lora,32.0,0.5046666666666667,0.019218047073866113,,,4358144.0,0.0,12.018562218666666,0.014029354493761902,2539.202850618089,86.60666295012557,7040.997927496911,239.05541457837012,1.1579852952694236e-07,4.409686112681466e-09,0.7157890059530924,0.02784077398984215
gsm8k,lora,64.0,0.48333333333333334,0.02013289182738865,,,8716288.0,0.0,12.104152234666666,0.014029354493761996,2487.693135730922,37.64113090964946,7182.3383795752425,108.8696877322702,5.545173970081454e-08,2.309801124904163e-09,0.6993578938406287,0.023817066522854556
hellaswag,full,,0.47783333333333333,0.0012583057392118048,0.6061666666666666,0.0016072751268321058,1543714304.0,0.0,18.21553152,0.01090431925174392,972.9256277328046,9.48077041726107,5092.735725721438,49.85426112838664,3.926676491213406e-10,1.0411739547061891e-12,2.243047384512763,0.01937677987994272
hellaswag,lora,4.0,0.4808333333333333,0.0010408329997330407,0.6013333333333333,0.0055075705472861025,544768.0,0.0,8.2370816,0.0,706.183875896968,16.107326140434278,7018.338092250296,158.24120355320667,1.1038338032581454e-06,1.0109937711624236e-08,3.0663588228994088,0.06268905974782454
hellaswag,lora,8.0,0.4831666666666667,0.0017559422921421095,0.6056666666666667,0.001527525231651936,1089536.0,0.0,8.247407616,0.0,696.2885109552493,6.057981693214701,7116.0002294766355,62.1999778683301,5.558941298558898e-07,1.4019961081157098e-09,3.131578182623992,0.020581372355061897
hellaswag,lora,16.0,0.4876666666666667,0.0011547005383792486,0.6121666666666666,0.00028867513459485323,2179072.0,0.0,8.268030976,0.0,759.1208729563901,59.39362172271852,6552.6895879818685,498.98838068766213,2.8092998609805763e-07,1.3247618004125564e-10,2.9146786171743826,0.22217370688848284
hellaswag,lora,32.0,0.49183333333333334,0.0023629078131262985,0.617,0.004500000000000018,4358144.0,0.0,8.309277696,0.0,706.160487033582,2.0605298636294838,7016.2041939058245,20.507367620580936,1.4157402784304513e-07,1.0325496358082603e-09,3.1454786949301443,0.024715979412473988
hellaswag,lora,64.0,0.4968333333333333,0.0010408329997330938,0.6201666666666666,0.002753785273643055,8716288.0,0.0,8.391799808,0.0,718.1522110619893,11.813005584487298,6900.2576728374215,113.9428781800017,7.115031842301066e-08,3.15935553488264e-10,3.109239276407486,0.03944999178706244
sst2,full,,0.9533639143730887,0.0006620989325568903,0.9533639143730887,0.0006620989325568903,1543714304.0,0.0,17.723475626666666,0.06852589732304942,205.78101962742707,4.694752709425558,2916.7409504830343,67.39279737886301,6.175779494319491e-10,4.2889991421422016e-13,16.684498880350063,0.39718642394237724
sst2,lora,4.0,0.9525993883792049,0.0017517491188668312,0.9525993883792049,0.0017517491188668312,544768.0,0.0,7.817937749333333,0.03854809988567166,170.0796739386084,3.9916347770107463,3529.05911965557,83.51364629043479,1.748633158297119e-06,3.2155874039350848e-09,20.17064690016403,0.4750350883668474
sst2,lora,8.0,0.9568042813455658,0.0035034982377337835,0.9568042813455658,0.0035034982377337835,1089536.0,0.0,7.8274800639999995,0.037966308098327316,166.76304778891304,2.9574679393168286,3598.663025813596,63.40797220537981,8.781759219939183e-07,3.215587403935076e-09,20.658914914299157,0.335113543872853
sst2,lora,16.0,0.9579510703363914,0.0013241978651138606,0.9579510703363914,0.0013241978651138606,2179072.0,0.0,7.846564693333334,0.036904015388873,175.56084163114429,8.061875358981387,3422.309264711496,153.41439496207076,4.3961423502132624e-07,6.076888992717308e-10,19.670157387194863,0.8724837967258385
sst2,lora,32.0,0.9571865443425077,0.005884864036062902,0.9571865443425077,0.005884864036062902,4358144.0,0.0,7.884753066666666,0.03524138200632592,168.45347271300852,7.361007428546066,3566.4587176466416,159.63552076835802,2.196316928358741e-07,1.3503142704928773e-09,20.478938922232288,0.7905180579216025
sst2,lora,64.0,0.9621559633027523,0.001986296797670783,0.9621559633027523,0.001986296797670783,8716288.0,0.0,7.961129813333333,0.03396323724041977,171.75224490448213,0.268290229105004,3493.4039805617085,5.456889693705244,1.1038597661100143e-07,2.278833372269115e-10,20.167268094053835,0.07070848220303111
