task,method_tag,task_acc_mean,task_acc_std,task_acc_norm_mean,task_acc_norm_std,trainable_params_mean,trainable_params_std,peak_vram_gb_mean,peak_vram_gb_std,train_seconds_mean,train_seconds_std,train_tokens_per_sec_mean,train_tokens_per_sec_std,acc_per_param_mean,acc_per_param_std,acc_per_gpu_hour_mean,acc_per_gpu_hour_std
gsm8k,full,0.554,0.009165151389911688,,,1543714304.0,0.0,22.481812309333332,0.03220796177581412,3215.2725590490736,72.54769190764601,5558.069840613902,123.7966292530265,3.588746949901943e-10,5.9370774541399175e-12,0.6203820924862737,0.009166601510569826
gsm8k,ia3,0.47533333333333333,0.01301281419729542,,,265216.0,0.0,13.539382442666666,0.033345813560159594,2513.650202510568,36.33753769411269,7108.078657719368,103.25748716263064,1.7922498391248393e-06,4.9064966658480024e-08,0.6807314894395536,0.013705998148349522
gsm8k,lora_r16,0.5193333333333333,0.006429100507328648,,,2179072.0,0.0,11.975767210666667,0.014029354493761996,2515.9134102022895,147.33763158884014,7116.528449719922,405.7544470109839,2.3832775297619045e-07,2.9503846166297608e-09,0.7445721750065983,0.03814472170004375
gsm8k,prefix20,0.268,0.028213471959331757,,,286720.0,0.0,11.420018005333333,0.0009653215648041288,2288.0322339750514,45.84057962412136,7810.000844104422,157.45574083745745,9.347098214285713e-07,9.840078110816049e-08,0.4222309871702741,0.051543374296518354
hellaswag,full,0.47783333333333333,0.0012583057392118048,0.6061666666666666,0.0016072751268321058,1543714304.0,0.0,18.21553152,0.01090431925174392,972.9256277328046,9.48077041726107,5092.735725721438,49.85426112838664,3.926676491213406e-10,1.0411739547061891e-12,2.243047384512763,0.01937677987994272
hellaswag,ia3,0.4851666666666667,0.002466441431158121,0.6116666666666667,0.0012583057392117633,265216.0,0.0,9.14233856,0.0,700.6478565125726,11.133386528268028,7072.5466494247485,111.37458283562255,2.3062962516087515e-06,4.744456364667905e-09,3.1432663140900483,0.04354799524017048
hellaswag,lora_r16,0.4876666666666667,0.0011547005383792486,0.6121666666666666,0.00028867513459485323,2179072.0,0.0,8.268030976,0.0,759.1208729563901,59.39362172271852,6552.6895879818685,498.98838068766213,2.8092998609805763e-07,1.3247618004125564e-10,2.9146786171743826,0.22217370688848284
hellaswag,prefix20,0.3841666666666667,0.011898879499067693,0.45116666666666666,0.01777873261324701,286720.0,0.0,7.940916906666668,0.0004067501928470597,640.9609798250409,13.336821301566625,7732.11762838411,162.8229028764241,1.573544456845238e-06,6.200729845580014e-08,2.5359698009231137,0.14963949202450982
sst2,full,0.9533639143730887,0.0006620989325568903,0.9533639143730887,0.0006620989325568903,1543714304.0,0.0,17.723475626666666,0.06852589732304942,205.78101962742707,4.694752709425558,2916.7409504830343,67.39279737886301,6.175779494319491e-10,4.2889991421422016e-13,16.684498880350063,0.39718642394237724
sst2,ia3,0.9510703363914373,0.0013241978651139569,0.9510703363914373,0.0013241978651139569,265216.0,0.0,8.691954517333334,0.07030827728723027,150.45085291486853,5.044748374479606,3990.9876883612123,133.38119211175024,3.5860217196226363e-06,4.9929033886107746e-09,22.774925923231837,0.789084348307667
sst2,lora_r16,0.9579510703363914,0.0013241978651138606,0.9579510703363914,0.0013241978651138606,2179072.0,0.0,7.846564693333334,0.036904015388873,175.56084163114429,8.061875358981387,3422.309264711496,153.41439496207076,4.3961423502132624e-07,6.076888992717308e-10,19.670157387194863,0.8724837967258385
sst2,prefix20,0.5248470948012233,0.019506652633292158,0.5248470948012233,0.019506652633292158,286720.0,0.0,7.595088384,0.033514079122342576,138.85386395764849,2.5070745641305434,4322.020126931465,77.90051034691683,1.8305213964886412e-06,6.803380522214046e-08,13.609654220223339,0.5332947357722102
