run_id,experiment,task,peft_method,precision,lora_rank,prefix_num_virtual_tokens,seed,max_steps,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,max_seq_length,task_acc,task_acc_norm,eval_n,trainable_params,total_params,trainable_pct,peak_vram_gb,train_seconds,eval_seconds,train_tokens_per_sec,acc_per_param,acc_per_gpu_hour
smoke__sst2_lora_r4_trained,smoke,sst2,lora,bf16,4,,0,50,0.0002,8,2,128,0.92,0.92,200,544768,1544259072,0.03527698233266393,5.340361216,9.119306093081832,4.24797660857439,1644.7523360772673,1.6887922932330829e-06,363.1855281744056
exp1__full__gsm8k__seed0,exp1,gsm8k,full,bf16,,,0,3000,1e-05,4,8,512,0.544,,500,1543714304,1543714304,100.0,22.462018048,3173.292264489457,852.9285721164197,5629.712144675149,3.5239681240914384e-10,0.6171508442242657
exp1__full__gsm8k__seed1,exp1,gsm8k,full,bf16,,,1,3000,1e-05,4,8,512,0.562,,500,1543714304,1543714304,100.0,22.518976512,3299.0433462797664,770.8816440091468,5415.12193834783,3.6405700105503465e-10,0.6132686926594957
exp1__full__hellaswag__seed0,exp1,hellaswag,full,bf16,,,0,2000,1e-05,8,4,256,0.479,0.6055,2000,1543714304,1543714304,100.0,18.203894784,962.2180333421566,33.807472927030176,5149.080383362768,3.9223579028260403e-10,2.2653909243715886
exp1__full__hellaswag__seed1,exp1,hellaswag,full,bf16,,,1,2000,1e-05,8,4,256,0.4765,0.605,2000,1543714304,1543714304,100.0,18.21718528,976.3057039552368,38.07920145755634,5074.781372195243,3.9191189615355145e-10,2.2308586246873556
exp1__full__hellaswag__seed2,exp1,hellaswag,full,bf16,,,2,2000,1e-05,8,4,256,0.478,0.608,2000,1543714304,1543714304,100.0,18.225514496,980.2531459010206,33.733057998120785,5054.345421606304,3.938552609278666e-10,2.2328926044793436
exp1__full__sst2__seed0,exp1,sst2,full,bf16,,,0,1000,1e-05,16,2,128,0.9529816513761468,0.9529816513761468,872,1543714304,1543714304,100.0,17.794710528,208.9477667491883,13.399412312079221,2871.5262638830322,6.173303239510222e-10,16.419098410715392
exp1__full__gsm8k__seed2,exp1,gsm8k,full,bf16,,,2,3000,1e-05,4,8,512,0.556,,500,1543714304,1543714304,100.0,22.464442368,3173.4820663779974,780.0971573870629,5629.375438818727,3.601702715064044e-10,0.6307267405750598
exp1__full__sst2__seed1,exp1,sst2,full,bf16,,,1,1000,1e-05,16,2,128,0.9529816513761468,0.9529816513761468,872,1543714304,1543714304,100.0,17.658025472,208.00809059478343,12.228510478977114,2884.4983783291705,6.173303239510222e-10,16.493271656617797
exp1__full__sst2__seed2,exp1,sst2,full,bf16,,,2,1000,1e-05,16,2,128,0.9541284403669725,0.9541284403669725,872,1543714304,1543714304,100.0,17.71769088,200.38720153830945,12.054028920829296,2994.1982092369003,6.180732003938032e-10,17.141126573717003
