Job started at: Mon Apr 27 06:26:17 AM EDT 2026
Running on node: duchin-compute-01.cis.cornell.edu
Job ID: 939429
Array index: 32 / 54
Config: configs/exp1_lora_rank/exp1__lora_r4__hellaswag__seed2.yaml
[run_id] exp1__lora_r4__hellaswag__seed2
[config] {"run_id": "exp1__lora_r4__hellaswag__seed2", "experiment": "exp1", "seed": 2, "peft_method": "lora", "task": "hellaswag", "precision": "bf16", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 4, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=544,768 / total=1,544,259,072 (0.0353%)
[data] hellaswag train rows: 39,905
{'loss': '2.361', 'grad_norm': '0.103', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.187', 'grad_norm': '0.1314', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.144', 'grad_norm': '0.1336', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.105', 'grad_norm': '0.1691', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.113', 'grad_norm': '0.1481', 'learning_rate': '0.0001954', 'epoch': '0.2004'}
{'loss': '2.086', 'grad_norm': '0.1363', 'learning_rate': '0.0001926', 'epoch': '0.2405'}
{'loss': '2.084', 'grad_norm': '0.1358', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.078', 'grad_norm': '0.3063', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.09', 'grad_norm': '0.1621', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.056', 'grad_norm': '0.271', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.078', 'grad_norm': '0.2195', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.091', 'grad_norm': '0.1445', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.085', 'grad_norm': '0.1555', 'learning_rate': '0.0001579', 'epoch': '0.5211'}
{'loss': '2.089', 'grad_norm': '0.1443', 'learning_rate': '0.0001511', 'epoch': '0.5612'}
{'loss': '2.106', 'grad_norm': '0.1628', 'learning_rate': '0.000144', 'epoch': '0.6013'}
{'loss': '2.079', 'grad_norm': '0.141', 'learning_rate': '0.0001365', 'epoch': '0.6414'}
{'loss': '2.056', 'grad_norm': '0.1222', 'learning_rate': '0.0001289', 'epoch': '0.6815'}
{'loss': '2.087', 'grad_norm': '0.2297', 'learning_rate': '0.0001211', 'epoch': '0.7216'}
{'loss': '2.055', 'grad_norm': '0.1244', 'learning_rate': '0.0001131', 'epoch': '0.7617'}
{'loss': '2.062', 'grad_norm': '0.1442', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.092', 'grad_norm': '0.1446', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.068', 'grad_norm': '0.1485', 'learning_rate': '8.885e-05', 'epoch': '0.8819'}
{'loss': '2.072', 'grad_norm': '0.1283', 'learning_rate': '8.085e-05', 'epoch': '0.922'}
{'loss': '2.072', 'grad_norm': '0.1521', 'learning_rate': '7.297e-05', 'epoch': '0.9621'}
{'loss': '2.074', 'grad_norm': '0.1481', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.053', 'grad_norm': '0.1903', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.06', 'grad_norm': '0.2065', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.035', 'grad_norm': '0.134', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.061', 'grad_norm': '0.152', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.051', 'grad_norm': '0.1421', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.058', 'grad_norm': '0.1251', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.061', 'grad_norm': '0.1302', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.069', 'grad_norm': '0.1313', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.036', 'grad_norm': '0.1385', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.069', 'grad_norm': '0.1358', 'learning_rate': '8.148e-06', 'epoch': '1.402'}
{'loss': '2.066', 'grad_norm': '0.1337', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.058', 'grad_norm': '0.1364', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.043', 'grad_norm': '0.1339', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.043', 'grad_norm': '0.1396', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.05', 'grad_norm': '0.1226', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '724.3', 'train_samples_per_second': '88.36', 'train_steps_per_second': '2.761', 'train_loss': '2.082', 'epoch': '1.603'}
[train] elapsed=724.5s peak_vram=8.24 GB tokens/s=6838
[eval] {'acc': 0.48, 'acc_norm': 0.605, 'n': 2000}
[done] wrote results/runs/exp1__lora_r4__hellaswag__seed2/
