Job: 974546 array 7/18  cfg=configs/exp2/hellaswag/exp2__lora_r16_fp32__hellaswag__seed1.yaml
[run_id] exp2__lora_r16_fp32__hellaswag__seed1
[config] {"run_id": "exp2__lora_r16_fp32__hellaswag__seed1", "experiment": "exp2", "seed": 1, "peft_method": "lora", "task": "hellaswag", "precision": "fp32", "max_steps": 2000, "per_device_train_batch_size": 4, "gradient_accumulation_steps": 8, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 16, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=2,179,072 / total=1,545,893,376 (0.1410%)
[data] hellaswag train rows: 39,905
{'loss': '2.36', 'grad_norm': '0.06337', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.142', 'grad_norm': '0.09011', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.11', 'grad_norm': '0.07771', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.089', 'grad_norm': '0.06575', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.119', 'grad_norm': '0.09914', 'learning_rate': '0.0001954', 'epoch': '0.2005'}
{'loss': '2.096', 'grad_norm': '0.06499', 'learning_rate': '0.0001926', 'epoch': '0.2406'}
{'loss': '2.073', 'grad_norm': '0.08095', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.075', 'grad_norm': '0.07758', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.103', 'grad_norm': '0.06567', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.075', 'grad_norm': '0.06812', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.055', 'grad_norm': '0.07748', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.077', 'grad_norm': '0.06024', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.071', 'grad_norm': '0.07381', 'learning_rate': '0.0001579', 'epoch': '0.5212'}
{'loss': '2.046', 'grad_norm': '0.07056', 'learning_rate': '0.0001511', 'epoch': '0.5613'}
{'loss': '2.055', 'grad_norm': '0.05686', 'learning_rate': '0.000144', 'epoch': '0.6014'}
{'loss': '2.063', 'grad_norm': '0.05873', 'learning_rate': '0.0001365', 'epoch': '0.6415'}
{'loss': '2.068', 'grad_norm': '0.08773', 'learning_rate': '0.0001289', 'epoch': '0.6816'}
{'loss': '2.059', 'grad_norm': '0.06781', 'learning_rate': '0.0001211', 'epoch': '0.7217'}
{'loss': '2.059', 'grad_norm': '0.06452', 'learning_rate': '0.0001131', 'epoch': '0.7618'}
{'loss': '2.058', 'grad_norm': '0.06344', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.063', 'grad_norm': '0.05458', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.053', 'grad_norm': '0.05835', 'learning_rate': '8.885e-05', 'epoch': '0.882'}
{'loss': '2.057', 'grad_norm': '0.05676', 'learning_rate': '8.085e-05', 'epoch': '0.9221'}
{'loss': '2.05', 'grad_norm': '0.05508', 'learning_rate': '7.297e-05', 'epoch': '0.9622'}
{'loss': '2.057', 'grad_norm': '0.05262', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.022', 'grad_norm': '0.05323', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.037', 'grad_norm': '0.05894', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.044', 'grad_norm': '0.06113', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.027', 'grad_norm': '0.07115', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.037', 'grad_norm': '0.05614', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.021', 'grad_norm': '0.06164', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.024', 'grad_norm': '0.06258', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.019', 'grad_norm': '0.06664', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.039', 'grad_norm': '0.06234', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.012', 'grad_norm': '0.07062', 'learning_rate': '8.148e-06', 'epoch': '1.403'}
{'loss': '2.024', 'grad_norm': '0.05978', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.045', 'grad_norm': '0.1213', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.042', 'grad_norm': '0.061', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.045', 'grad_norm': '0.07005', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.061', 'grad_norm': '0.06609', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '2413', 'train_samples_per_second': '26.52', 'train_steps_per_second': '0.829', 'train_loss': '2.066', 'epoch': '1.603'}
[train] elapsed=2413.6s peak_vram=9.99 GB tokens/s=2053
[eval] {'acc': 0.486, 'acc_norm': 0.6095, 'n': 2000}
[done] wrote results/runs/exp2__lora_r16_fp32__hellaswag__seed1/
