Job: 977310 array 9/18  cfg=configs/exp2/hellaswag/exp2__lora_r16_int4__hellaswag__seed0.yaml
[run_id] exp2__lora_r16_int4__hellaswag__seed0
[config] {"run_id": "exp2__lora_r16_int4__hellaswag__seed0", "experiment": "exp2", "seed": 0, "peft_method": "lora", "task": "hellaswag", "precision": "int4", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 16, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=2,179,072 / total=890,795,520 (0.2446%)
[data] hellaswag train rows: 39,905
{'loss': '2.358', 'grad_norm': '0.1342', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.204', 'grad_norm': '0.1273', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.171', 'grad_norm': '0.1629', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.144', 'grad_norm': '0.1682', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.148', 'grad_norm': '0.1593', 'learning_rate': '0.0001954', 'epoch': '0.2004'}
{'loss': '2.099', 'grad_norm': '0.1516', 'learning_rate': '0.0001926', 'epoch': '0.2405'}
{'loss': '2.121', 'grad_norm': '0.1667', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.13', 'grad_norm': '0.1615', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.091', 'grad_norm': '0.1153', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.105', 'grad_norm': '0.1232', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.114', 'grad_norm': '0.1291', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.088', 'grad_norm': '0.1409', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.109', 'grad_norm': '0.1541', 'learning_rate': '0.0001579', 'epoch': '0.5211'}
{'loss': '2.092', 'grad_norm': '0.1307', 'learning_rate': '0.0001511', 'epoch': '0.5612'}
{'loss': '2.09', 'grad_norm': '0.1206', 'learning_rate': '0.000144', 'epoch': '0.6013'}
{'loss': '2.096', 'grad_norm': '0.1298', 'learning_rate': '0.0001365', 'epoch': '0.6414'}
{'loss': '2.072', 'grad_norm': '0.1354', 'learning_rate': '0.0001289', 'epoch': '0.6815'}
{'loss': '2.082', 'grad_norm': '0.1153', 'learning_rate': '0.0001211', 'epoch': '0.7216'}
{'loss': '2.107', 'grad_norm': '0.1356', 'learning_rate': '0.0001131', 'epoch': '0.7617'}
{'loss': '2.066', 'grad_norm': '0.1475', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.088', 'grad_norm': '0.1432', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.121', 'grad_norm': '0.1296', 'learning_rate': '8.885e-05', 'epoch': '0.8819'}
{'loss': '2.099', 'grad_norm': '0.1485', 'learning_rate': '8.085e-05', 'epoch': '0.922'}
{'loss': '2.084', 'grad_norm': '0.1071', 'learning_rate': '7.297e-05', 'epoch': '0.9621'}
{'loss': '2.091', 'grad_norm': '0.1332', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.085', 'grad_norm': '0.1472', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.056', 'grad_norm': '0.1309', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.053', 'grad_norm': '0.1312', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.051', 'grad_norm': '0.1435', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.091', 'grad_norm': '0.1461', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.064', 'grad_norm': '0.1423', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.057', 'grad_norm': '0.1444', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.052', 'grad_norm': '0.1536', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.085', 'grad_norm': '0.1403', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.067', 'grad_norm': '0.1265', 'learning_rate': '8.148e-06', 'epoch': '1.402'}
{'loss': '2.047', 'grad_norm': '0.1333', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.062', 'grad_norm': '0.1583', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.062', 'grad_norm': '0.1695', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.04', 'grad_norm': '0.1547', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.055', 'grad_norm': '0.1384', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '2062', 'train_samples_per_second': '31.04', 'train_steps_per_second': '0.97', 'train_loss': '2.097', 'epoch': '1.603'}
[train] elapsed=2062.1s peak_vram=4.55 GB tokens/s=2403
[eval] {'acc': 0.487, 'acc_norm': 0.606, 'n': 2000}
[done] wrote results/runs/exp2__lora_r16_int4__hellaswag__seed0/
