Job: 10720 array 10/18  cfg=configs/exp3/hellaswag/exp3__prefix20__hellaswag__seed1.yaml
[run_id] exp3__prefix20__hellaswag__seed1
[config] {"run_id": "exp3__prefix20__hellaswag__seed1", "experiment": "exp3", "seed": 1, "peft_method": "prefix", "task": "hellaswag", "precision": "bf16", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.001, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": null, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": 20, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=286,720 / total=1,544,001,024 (0.0186%)
[data] hellaswag train rows: 39,905
{'loss': '8.14', 'grad_norm': '0.3655', 'learning_rate': '0.0008167', 'epoch': '0.04009'}
{'loss': '6.376', 'grad_norm': '0.16', 'learning_rate': '0.000999', 'epoch': '0.08018'}
{'loss': '5.696', 'grad_norm': '0.1562', 'learning_rate': '0.0009948', 'epoch': '0.1203'}
{'loss': '5.358', 'grad_norm': '0.07695', 'learning_rate': '0.0009874', 'epoch': '0.1604'}
{'loss': '5.1', 'grad_norm': '0.218', 'learning_rate': '0.0009768', 'epoch': '0.2004'}
{'loss': '4.876', 'grad_norm': '0.06574', 'learning_rate': '0.000963', 'epoch': '0.2405'}
{'loss': '4.687', 'grad_norm': '0.06843', 'learning_rate': '0.0009462', 'epoch': '0.2806'}
{'loss': '4.58', 'grad_norm': '0.05746', 'learning_rate': '0.0009265', 'epoch': '0.3207'}
{'loss': '4.43', 'grad_norm': '0.0553', 'learning_rate': '0.000904', 'epoch': '0.3608'}
{'loss': '4.279', 'grad_norm': '0.05531', 'learning_rate': '0.0008789', 'epoch': '0.4009'}
{'loss': '4.107', 'grad_norm': '0.06205', 'learning_rate': '0.0008513', 'epoch': '0.441'}
{'loss': '3.977', 'grad_norm': '0.04924', 'learning_rate': '0.0008213', 'epoch': '0.4811'}
{'loss': '3.835', 'grad_norm': '0.05268', 'learning_rate': '0.0007893', 'epoch': '0.5211'}
{'loss': '3.641', 'grad_norm': '0.05457', 'learning_rate': '0.0007554', 'epoch': '0.5612'}
{'loss': '3.52', 'grad_norm': '0.07087', 'learning_rate': '0.0007198', 'epoch': '0.6013'}
{'loss': '3.391', 'grad_norm': '0.05039', 'learning_rate': '0.0006827', 'epoch': '0.6414'}
{'loss': '3.345', 'grad_norm': '0.04909', 'learning_rate': '0.0006445', 'epoch': '0.6815'}
{'loss': '3.253', 'grad_norm': '0.05748', 'learning_rate': '0.0006053', 'epoch': '0.7216'}
{'loss': '3.18', 'grad_norm': '0.05103', 'learning_rate': '0.0005654', 'epoch': '0.7617'}
{'loss': '3.144', 'grad_norm': '0.04015', 'learning_rate': '0.0005251', 'epoch': '0.8018'}
{'loss': '3.122', 'grad_norm': '0.05598', 'learning_rate': '0.0004846', 'epoch': '0.8419'}
{'loss': '3.053', 'grad_norm': '0.03377', 'learning_rate': '0.0004442', 'epoch': '0.8819'}
{'loss': '3.038', 'grad_norm': '0.04846', 'learning_rate': '0.0004042', 'epoch': '0.922'}
{'loss': '3.015', 'grad_norm': '0.03942', 'learning_rate': '0.0003649', 'epoch': '0.9621'}
{'loss': '2.983', 'grad_norm': '0.03735', 'learning_rate': '0.0003264', 'epoch': '1.002'}
{'loss': '2.956', 'grad_norm': '0.04312', 'learning_rate': '0.000289', 'epoch': '1.042'}
{'loss': '2.941', 'grad_norm': '0.04544', 'learning_rate': '0.000253', 'epoch': '1.082'}
{'loss': '2.963', 'grad_norm': '0.03907', 'learning_rate': '0.0002187', 'epoch': '1.122'}
{'loss': '2.923', 'grad_norm': '0.03713', 'learning_rate': '0.0001862', 'epoch': '1.162'}
{'loss': '2.927', 'grad_norm': '0.04463', 'learning_rate': '0.0001557', 'epoch': '1.202'}
{'loss': '2.914', 'grad_norm': '0.04328', 'learning_rate': '0.0001275', 'epoch': '1.242'}
{'loss': '2.913', 'grad_norm': '0.04308', 'learning_rate': '0.0001018', 'epoch': '1.282'}
{'loss': '2.908', 'grad_norm': '0.04221', 'learning_rate': '7.862e-05', 'epoch': '1.322'}
{'loss': '2.926', 'grad_norm': '0.03696', 'learning_rate': '5.823e-05', 'epoch': '1.362'}
{'loss': '2.882', 'grad_norm': '0.03651', 'learning_rate': '4.074e-05', 'epoch': '1.402'}
{'loss': '2.908', 'grad_norm': '0.04038', 'learning_rate': '2.625e-05', 'epoch': '1.443'}
{'loss': '2.906', 'grad_norm': '0.03695', 'learning_rate': '1.487e-05', 'epoch': '1.483'}
{'loss': '2.914', 'grad_norm': '0.03976', 'learning_rate': '6.673e-06', 'epoch': '1.523'}
{'loss': '2.921', 'grad_norm': '0.03471', 'learning_rate': '1.704e-06', 'epoch': '1.563'}
{'loss': '2.933', 'grad_norm': '0.0503', 'learning_rate': '6.556e-10', 'epoch': '1.603'}
{'train_runtime': '647.9', 'train_samples_per_second': '98.79', 'train_steps_per_second': '3.087', 'train_loss': '3.699', 'epoch': '1.603'}
[train] elapsed=648.0s peak_vram=7.94 GB tokens/s=7646
[eval] {'acc': 0.3735, 'acc_norm': 0.434, 'n': 2000}
[done] wrote results/runs/exp3__prefix20__hellaswag__seed1/
